,195,,,,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,,Indicador 1,,,,,Indicador 1,,,,,Indicador 1,,,,HITO 1,,,HITO 2,,,HITO 3,,,HITO 4,,,HITO 5,,,HITO 6,,,HITO 7,,,HITO 8,,,HITO 9,,,Medio Verificación 1,,,,,,Medio_verificacion_2,,,,,Medio Verificación 3,,,,,Medio_verificacion_4,,,,,Medio_verificacion_5,,,,,Medio Verificación 6,,,,,,,Medio Verificación 7,,,,,,
DVCM,DVCM-23,DVcM,Promoción de espacios de reflexión e incidencia pública sobre temáticas territoriales,Desarrollar actividades de levantamiento y sistematización de necesidades que puedan ser articuladas con las capacidades académicas que la Universidad tiene para trabajar en conjunto a los territorios.,Misional," $3,160,000 ",,Gestionar y desarrollar de espacios de reflexión e incidencia pública emergentes en la Institución.,"Actividades para la reflexión e incidencia pública gestionadas en las cuales participa Académicos, Académicas, profesionales de la U Aysén.","Número de Actividades para la reflexión e incidencia pública gestionadas en las cuales participa Académicos, Académicas, profesionales de la U Aysén",10,Registro de actividades para la reflexión e incidencia pública,,,,,Gestionar redes y colaboraciones con actores claves de los territorios para el desarrollo de espacios de reflexión e incidencia pública.,Colaboración con actores claves de los territorios.,Número de colaboraciones con actores claves de los territorios formalizadas y operacionalizadas.,10,Informes de desarrollo de actividades al alero de convenios,,,,,"Diseñar herramientas, aplicarlas y sistematizar resultados de evaluación y opinión sobre espacios de reflexión e incidencia pública.",Espacios de reflexión e incidencia pública con evaluación de satisfacción.,Número de espacios de reflexión e incidencia pública realizados y para los cuales se realiza una encuesta de satisfacción.,1,Informe de diagnóstico respecto a evaluación de espacios de reflexión e incidencia pública,,,,,,,,,,,,,,,,,,,,,,,,,"Diseñado, validado y socializado un calendario anual de espacios de reflexión e incidencia pública.",Documento de trabajo que presenta el detalle de la planificación de actividades para el periodo,abr-22,"Participación de Académico/as en Mesas Intersectoriales de Políticas Públicas y/o Sectoriales, Privadas o de la Sociedad Civil U Aysén",Conforme a planificación establecida en calendario anual se trabajará con los Departamentos en la participación de mesas de trabajo donde se priorice la conexión con directrices estratégicas institucionales.,oct-22,Incidencia u Aysén en Proceso Constituyente,Con especial énfasis en el devenir de la Convención Constitucional sala Universidad de Aysén elaborará plan de trabajo para desarrollar acciones orientadas a potenciar la incidencia y Colaboración de la Universidad de Aysén en este proceso.,sep-22,Estudio de Barómetro Regional Aysén,"En alianza con diferentes Universidades Regionales se participará en el desarrollo del estudio de barómetro regional donde participarán connotado/as académico/as a nivel nacional y regional. Dicho estudio, posicionará a la Universidad de Aysén en el contexto regional como referencia en levantamiento de datos del contexto regional",may-22,,,,,,,,,,,,,,,,"Plan de actividades para la reflexión e incidencia pública gestionadas en las cuales participa Académicos, Académicas, profesionales de la U Aysén.","Plan desarrollado de manera conjunta con Equipo Directivo, Departamentos y otros agentes territoriales. Este Plan de trabajo debiera ser co-construído con el Consejo Social para potenciar las redes externas de la institución.",Documento de trabajo que presenta el detalle de la planificación de actividades para el periodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVCM,DVCM-24,TE,Consolidar y posicionar las líneas estratégicas de la Unidad de Gestión Territorial-DVCM.,"Articular las líneas estratégicas de la Unidad de Gestión Territorial-DVCM, con el fin de contribuir a instalar en la cultura institucional el valor de la vinculación.",Misional," $8,000,000 ",,Iniciativas de colaboración con el territorio desde el quehacer universitario que potencien la VCM.,"Financiamiento, apoyo técnico y seguimiento a iniciativas de colaboración con el territorio desde el quehacer universitario que potencien la VCM",Número de iniciativas de colaboración con el territorio financiadas y/o apoyadas técnicamente,4,Reporte anual de iniciativas de colaboración con el territorio apoyadas desde TE-DVCM,Conformación Red de establecimientos regionales de iniciativas de vinculación escolar científica universitaria.,Número de proyectos en Feria escolar científica virtual regional para promover la conformación de una Red de establecimientos regionales de iniciativas de vinculación escolar científica universitaria,8,Acta de recepción de proyectos VEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elaboración y difusión de orientaciones institucionales sobre líneas de trabajo UGT-DVCM y quehacer universitario vinculado a desafíos territoriales.,"Formular orientaciones institucionales sobre líneas de trabajo UGT-DVCM y quehacer universitario vinculado a desafíos territoriales, para promover docencia e investigación vinculada a desafíos territoriales.",jun-22,Financiamiento plataforma y ejecución Feria escolar científica virtual regional para promover la conformación de una Red de establecimientos regionales de iniciativas de vinculación escolar científica universitaria y posicionarla.,Potenciar Red de establecimientos regionales de iniciativas de vinculación escolar científica universitaria.,ago-22,Conformación de red de agentes de cambio para el territorio Aysén,"Potenciar red de agentes de cambio para el territorio, que articule actores internos y externos que han participado en iniciativas orientadas a la vinculación con el territorio al alero del modelo DVCM ( monitores VCM, ayudantes VEC, curso commons, asesores científicos VEC, liceos VEC, estudiantes liceos VEC, practicantes, gestores territoriales) desarrollando capacidades y oportunidades que proyecten liderazgo en el territorio regional y nacional.",ago-22,Instalación de Semillero de Emprendedores Sociales de la Patagonia,Instalación y financiamiento de proceso formativo y de fondo concursables para agentes externos de la región de Aysén,nov-22,Desarrollo de capacidades estratégicas UGT,"Participación en actividades de formación, capacitación, seminarios, pasantías u otros para desarrollo de capacidades estratégicas",dic-22,"Desarrollo jornadas, talleres y/ seminarios Unidad gestión territorial","Desarrollar jornadas, talleres y/ seminarios Unidad gestión territorial para fortalecer y proyectar la Unidad",dic-22,,,,,,,,,,"Respaldos asociados a material elaborado sobre orientaciones y actividades de socialización orientaciones líneas de trabajo UGT-DVCM, c",El material elaborado debe incluir : 1 documento metodológico por línea de trabajo UGT-DVCM (5) y su respectiva cartilla diseñada y diagramada para impresión y versión digital.,"Respaldos asociados a actividades de socialización que consideren aspectos abordados, nómina de participantes convocados y participantes (presentaciones, correo convocatoria, listas de asistencia).",,,,,,,,,,,,,,Conformación Red de establecimientos regionales de iniciativas de vinculación escolar científica universitaria.,Respaldos plataforma Feria escolar científica virtual regional para promover la conformación de una Red de establecimientos regionales de iniciativas de vinculación escolar científica universitaria,Número de participantes en Feria escolar científica virtual regional para promover la conformación de una Red de establecimientos regionales de iniciativas de vinculación escolar científica universitaria,,,,,,,,,,,,,,,,,,,,,
DVCM,DVCM-25,TE,Implementación Piloto política regional desarrollo rural (convenio Subdere-Gore Aysén- U Aysén),"Diseñar política regional de desarrollo rural (PRDR) para promover la relación de la investigación einnovación con los sectores productivos y sociales, contribuyendo al desarrollo cultural y la calidadde vida de las personas y sus comunidades.",Desarrollo, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Levantamiento de información regional orientada a caracterizar el ámbito rural y mapear actores en el ámbito del desarrollo rural regional,Levantar información primaria y secundaria orientada a caracterizar el ámbito rural y mapear actores en el ámbito del desarrollo rural regional,abr-22,Instalación de Consejo regional desarrollo rural,Instalar Consejo regional de desarrollo rural,jun-22,Informe de instalación Consejo regional de desarrollo rural,"Informe de instalación Consejo regional de desarrollo rural que incluya nómina de consejeros , borrador reglamento interno y acta de sesión inicial.",jul-22,,,,,,,,,,,,,,,,,,,Informe de caracterización regional,Informe de caracterización regional relevantes para instalar la política regional de desarrollo rural,Informe de mapeo de actores relevantes para instalar la política regional de desarrollo rural,Informe de resultados encuesta de percepción sobre el desarrollo rural,,,Informe de instalación consejo regional de desarrollo rural,Informe de consejeros que conforman consejo regional de desarrollo rural,Borrador de reglamento interno,Acta de sesión de instalación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVCM,DVCM-6,DVcM,"Gestión Estratégica, Táctica y Operativa de la Dirección de Vinculación con el Medio ","Gestionar estratégicamente la Dirección de Vinculación con el Medio y Comunicaciones, velando por el cumplimiento de sus funciones principales, articulando el desarrollo de las funciones de cada unidad y área.",Misional," $300,000 ",,"Coordinación Estratégica de la Dirección en los ámbitos competentes de Vinculación con el Medio a nivel interno y externo (Local, nacional, regional e internacional)","Reuniones de Coordinación Estratégicas con agentes internos y externos a escala regional, nacional e internacional.",Número de Reuniones sostenidas con agentes claves,15,Grabación de Sesiones Virtuales o Acta Reunión Presencial,,,,,"Generar, mantener y monitorear las relaciones de la Universidad con otras instituciones privadas, públicas, del tercer sector y de la sociedad civil.",Convenios Institucionales,Número de Convenios de Vinculación establecidos con instituciones públicas y privadas,10,Convenios Decretados,,,,,"Seguimiento periódico de las acciones internas y articuladas de la dirección, para asegurar el cumplimiento de su rol y su apropiada respuesta a las instancias de seguimiento institucional.",Evaluación de Desempeño,Número de Evaluaciones realizadas en el año,6,Informes Evaluación de Desempeño,,,,,Diseño del Plan Operativo Anual 2023,Actividades de VcM establecidas en POA 2023,Número Actividades establecidas en POA 2023,30,Sistematización POA 2023 validado por DPAC,,,,,,,,,,,,,,,,"Identificación de Agentes Claves a escala regional, nacional e internacional .",Desarrollar listado de agentes a entrevistar durante el año 2022 para programar sesiones de trabajo,abr-22,Revisión de Convenios por parte del Comité de Coordinación de VcM,Conforme a Proceso de Elaboración y Aprobación de Decretos se llevará a cabo 5 reuniones al año para revisar solicitudes de Convenios.,oct-22,Evaluación de Desempeño,Conforme a procesos de evaluación de desempeño se supervisará y realizará las evaluación respectiva de cada unidad y funcionario de la Dirección,nov-22,Jornada de Evaluación Anual,Se desarrollará actividad de evaluación del Plan Operativo Anual y desarrollo de áreas estratégicas.,oct-22,Diseño Plan Operativo Dirección VcM 2023,Implementación del proceso de revisión del POA 2022 y proyección de acciones al 2023 conforme a directrices institucionales.,dic-22,,,,,,,,,,,,,Minuta Reuniones Estratégicas informadas a Rectoría,Se entregará Minuta o correo informativo a Rectoría/Gabinete dando cuenta de las reuniones estratégicas y principales tópicos de impacto en el quehacer institucional.,,,,,Informe Resumen de Evaluación de Desempeño de la Dirección,Conforme a Evaluación Anual de Desempeño se desarrollará un informe resumen de la Evaluación General del Desempeño Colectivo de la Dirección.,,,,Minuta Sistematización Convenios Institucionales de Vinculación con el Medio,"Conforme al desarrollo de elaboración de convenios institucionales de vinculación con el medio según procedimiento establecido por DPAC, se elaborará minuta que integre los Decretos de formalización de los convenios tramitados. Asimismo se agregará información actualizada de convenios vigentes con principales avances.",,,,,,,,,,,,,,,,,,,,,,,,,,,
DVCM,DVCM-7,COM,Diseño y ejecución de Plan de Difusión Admisión U Aysén 2023,Definir los ámbitos de acción que incluirá el proceso de admisión 2023 de acuerdo al diagnóstico y evaluación 2022 y ejecutar las actividades definidas en los plazos establecidos y que permitan difundir la oferta de pregrado de la Universidad de Aysén a nivel regional y nacional y promover el acceso a la educación superior.,Misional, $- ,,Ejecución Plan de Difusión de la Admisión 2023 de acuerdo a lo planificado.,Ejecución de actividades del plan de Difusión comprometido.,(Número de Actividades ejecutadas/Número de Actividades planificadas)*100,80%,Informe de ejecución de Plan de Admisión.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plan Difusión de la Admisión Validado y socializado.,"Plan debe estar en conocimiento de los actores estratégicos (DAc, Jefes de Carrera).",abr-22,Informe de Ejecución Semestral Admisión 2023.,Reporte de Estado Avance Plan de Difusión de la Admisión 2023,jun-22,Informe de Ejecución Final Semestral Admisión 2023.,Reporte de Estado Avance Plan de Difusión de la Admisión 2023 Diciembre.,dic-22,Elaboración y aplicación y sistematización de encuesta de satisfacción acciones claves de Plan de Admisión con jefes de carrera.,Se elaborará y aplicará encuesta de satisfacción a los 8 Jefes de Carrera que de cuenta del % de satisfacción de las actividades realizadas que involucran a sus carreras. Se espera obtener un 60% de Satisfacción.,dic-22,,,,,,,,,,,,,,,,Documento Digital Plan de Difusión Admisión 2023.,"Debe contar con aprobación Director DAC, además debe dar cuenta de los hitos y acciones que contempla el plan , considerando el calendario del proceso de admisión establecidos por el SUA y los objetivos del plan de admisión 2023 de la institución.",Debe contar con Memo de socialización Plan a los actores estratégicos (jefes de carrera).,Debe dar cuenta de los criterios que permiten evaluar el cumplimiento de las acciones comprometidas para el periodo.,,,Informes de Avance ejecución de Plan de Difusión de la Admisión.,Debe dar cuenta del % de cumplimiento de las distintas actividades incorporadas en el plan que fueron comprometidas en el plan y entregar información de aspectos críticos o dificultades en su implementación.,,,,Aplicación y Sistematización Encuesta satisfacción.,"Debe contener el instrumento aplicado, el listado de jefes de carrera participantes.",Debe dar cuenta del % de satisfacción de los jefes de carrera del plan ejecutado.,Debe levantar retroalimentación para incorporar mejoras en el plan 2024.,,,,,,,,,,,,,,,,,,,,,,,,,
DVCM,DVCM-8,COM,"Diseño y ejecución de Plan de Gestión de Prensa 2022 considerando las áreas estratégicas institucionales establecidas en el PEDI, Plan de Gestión de Gobierno Universitario y Planes de Desarrollo de los Departamentos.","Definir y Ejecutar acciones estratégicas 2022 para la difusión de contenidos que contribuyan al posicionamiento institucional, considerando las áreas académicas y de gestión institucional.",Misional, $- ,,Ejecución de Actividades incorporadas en el Plan Gestion Prensa 2022,Ejecución de actividades comprometidas de acuerdo a lo planificado a Julio 2023,(Número de Actividades ejecutadas/Número de Actividades planificadas)*100,50%,Informe de ejecución Plan de gestión de Prensa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plan de Gestión de Prensa 2022 elaborado y socializado con actores estratégicos, equipo directivo y jefes de departamento.",Plan debe estar en conocimiento de los actores estratégicos y socializado vía memo.,abr-22,Informe de ejecución semestral de actividades comprometidas.,Reporte de ejecución que indica % de avance plan socializado con el equipo directivo y jefes de departamento.,jul-22,Reporte final de Ejecución de actividades comprometidas de acuerdo a lo planificado.,Reporte de estado de avance que indica % de avance debe contar con memo de socialización al equipo directivo y jefes de departamento.,dic-22,Aplicación de encuesta de satisfacción de Gestión de prensa realizada con departamentos y direcciones.,"Se espera obtener un 60% de Satisfacción de Gestión de prensa realizada Directores, Jefes de Departamento y Jefes de Unidad.",dic-22,,,,,,,,,,,,,,,,Documento Digital Plan de Gestión de Prensa 2022,"Debe dar cuenta de los ámbitos de acción priorizados y las acciones que se ejecutarán en el periodo, con acciones que permitan determinar el % de avance de ejecución del Plan.",Debe contar con Memo de socialización Plan a los actores estratégicos.,Debe dar cuenta de los criterios que permiten evaluar el cumplimiento de las acciones comprometidas para el periodo.,,,Informe de estado de avance plan gestión de prensa socializado con actores estratégicos en Julio 2022.,Debe dar cuenta del % de cumplimiento de las distintas actividades incorporadas en el plan que fueron comprometidas en el plan y entregar información de aspectos críticos o dificultades en su implementación.,,,,Informe de estado de avance plan gestión de prensa socializado con actores estratégicos en Diciembre 2022.,Debe dar cuenta del % de cumplimiento de las distintas actividades incorporadas en el plan que fueron comprometidas en el plan y entregar información de aspectos críticos o dificultades en su implementación.,,,,"Debe contener el instrumento aplicado, el listado de participantes.","Debe contener el instrumento aplicado, el listado de participantes.",Debe dar cuenta del % de satisfacción de los jefes de carrera del plan ejecutado.,Debe levantar retroalimentación para incorporar mejoras en el plan 2024.,,,,,,,,,,,,,,,,,,,,
DVCM,DVCM-9,COM,Creación del área de Comunicación Interna Universidad de Aysén.,"Desarrollar acciones tendientes a instalación del área, finalización de diagnóstico institucional y ejecución de acciones que permitan fortalecer la gestión de comunicación interna institucional, contribuyendo de esta manera al desarrollo organizacional de la institución en coordinación con el área de desarrollo de personas de la DAF.",Desarrollo, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conformación área comunicación interna.,"Junto con la UDP se define formalmente ámbitos de acción del área, estableciendo lineamientos que permitan proyectar el trabajo del área para el año 2022, formalizando su funcionamiento.",abr-22,Gestión y Contratación Profesional realizada de acuerdo a lo requerido para la implementación de las acciones definidas y priorizadas.,Concurso ejecutado y finalizado que permite incorporar profesional con las competencias requeridas para desarrollar e implementar procesos de comunicación interna al interior de la universidad de Aysén en coordinación con la DVcM-COM y UDP.,jun-22,"Plan de Comunicación Interna Elaborado y socializado con equipo directivo, el que incluye diagnóstico situación actual de la institución en este ámbito y áreas estratégicas de trabajo.",Plan de trabajo debe dar cuenta de las acciones a desarrollar durante el segundo semestre del año y diagnóstico que permita priorizar las acciones más relevantes para el periodo.,jul-22,Plataforma Intranet instruccional elaborada y en funcionamiento.,"Se gestiona y ejecuta acciones tendientes al desarrollo de plataforma intranet, administrando los contenidos que permite apoyar el trabajo de comunicación interna .",jul-22,,,,,,,,,,,,,,,,Formalización Creación área,Formalización creación del área indicando su ubicación dentro del organigrama y su estructura de funcionamiento informando vía memo y a través de una presentación al equipo directivo de inicio de funciones del área.,,,,,Plan de Comunicación Interna elaborado y socializado con equipo directivo.,"Plan debe incorporar el análisis de la situación actual de la institución y proponer acciones a desarrollar en los siguientes ejes estratégicos: informar, acompañar procesos, fortalecer vínculos, motivar, participación, buen clima laboral, y bienestar funcionario.",Plan debe ser socializado vía memo con directivos y directivas.,,,Plataforma Intranet habilitada.,Plataforma en funcionamiento de acuerdo a lo planificado y las necesidades de información requeridas por el área.,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC,REC-2,RI,Desarrollo de la Unidad de Relaciones internacionales ,"Desarrollar las capacidades físicas, profesionales y de gestión de la Unidad de RRII",Desarrollo," $600,000 ",,Acciones de desarrollo de capacidades de la Unidad considerando aseguramiento de la calidad -criterios CNA- y proceso de autoevaluación institucional,"Acciones de desarrollo de capacidades en términos físicos, profesionales y de gestión",Número total de acciones de fortalecimiento de capacidades reportadas,3,Informe semestral de actividades de la Unidad de RRII,,,,,Acciones de internacionalización en relación a movilidad y participación en redes (URY 1856 OE6 Política RRII),"Acciones de internacionalización en movilidad estudiantil, académica y funcionaria así como participación en redes",Número total de acciones de internacionalización reportadas en el ámbito de movilidad y participación en redes,5,"Informe semestral de actividades de la Unidad de RRII y Decretos de movilidad estudiantil y académica; reglamento de movilidad estudiantil decretado, entre otros",,,,,"Acciones de articulación interna con las direcciones de la universidad: DI, DAC y VCM",Acciones de articulación con direcciones y áreas misionales de la institución,Número total de acciones de articulación reportadas,5,Informe semestral de actividades de la Unidad de RRII que incluye participación en comités de coordinación,,,,,,,,,,,,,,,,,,,,,,,,,Participación en sesiones de trabajo de la Subcomisión de GI para el proceso de acreditación,Unidad de RRII aporta con la visión de internacionalización a las sesiones de trabajo de la Subcomisión en el análisis transversal.,dic-22,Desarrollo de un programa de movilidad estudiantil internacional (URY 1856 OE6 H2),Ejecutado un programa de movilidad estudiantil al extranjero.,dic-22,Misiones academicas de intercambio internacional desarrolladas (URY 1856 OE6 H3),Ejecutada una misión académica al extranjero.,dic-22,,,,,,,,,,,,,,,,,,,Informe semestral de actividades de la Unidad de Relaciones Internacionales,Dar cuenta de las actividades que se han llevado a cabo en materia de internacionalización,"Debe incluir un apartado para cada temática: movilidad estudiantil, misiones académicas, participación en redes, entre otros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC,REC-3,EG,Promoción de la Igualdad de Género,"Sensibilizar en igualdad de género a la comunidad de género universitaria, promoviendo los derechos de las mujeres y disidencias sexo-genéricas y propiciando cambios en las prácticas socioculturales del territorio.",Misional," $2,500,000 ",,Desarrollar actividades periódicas de Promoción de la igualdad de género,Porcentaje de actividades realizadas ,(Número de actividades realizadas/Numero actividades planificadas )*100,90%,"material de difusión, fotografías",,,,,Sensibilizar a los/as integrantes de la comunidad universitaria a través de un proceso de inducción en materia de igualdad de género,Registro acciones de inducción ,Sumatoria ,13,"asistencia, fotografías, ppts",,,,,Coordinar  la logística y los aspectos administrativos  para la ejecución de  las distintas actividades ,"Número de reuniones coordinadas, ejecutadas y sistematizadas desde género con otras áreas administrativas de la institución para desarrollo de actividades de promoción de la igualdad de género.",sumatoria,10,Actas de reunión ,,,,,Coordinar Comité Asesor o Comisión de Equidad de Género según corresponda,Número de sesiones realizadas ,sumatoria,10,"Actas Sesiones (La CEG sesiona cada 15 días, el CAEG sesionará 2 veces al año) ",Participar y asesorar Mesa del Senado Universitario,Porcentaje de participación en sesiones Mesa del SU,(Sesiones con participación UEG/sesiones Mesa SU)*100,100%,Lista de asistencia a sesiones Mesa SU,,,,,,,,,,,"Plan de Actividades de conmemoración de días nacionales e internacionales relacionados con la igualdad de género(8 de marzo, 5 septiembre, 28 de septiembre, 25 de noviembre, 29 de noviembre) ",Debe proveer de una calendarización de actividades relevantes a desarrollar en el período.Debe indicar coordinaciones necesarias para llevar a cabo las actividades.,ene-22,Informe Inducción a estudiantes cohorte 2022,Informe debe especificar listado de estudiantes asistentes.Informe debe indicar aspectos que fueron trabajados con los/las estudiantes.,abr-22,Constitución de Comité Asesor/ Comisión de Género 2022,"Debe indicar principales actores, sus roles y funciones.Debe establecer productos encomendados y tiempos de dedicación.",ene-22,,,,,,,,,,,,,,,,,,,Informe Anual de actividades realizadas de sensibilización y promoción ,Informe ejecutivo que incorpore antecedentes y plantee análisis sobre impacto de  las actividades en materia sensibilización / promoción en la Institución.El análisis debe estar basado en antecedentes recopilados desde asistentes / participantes.,Pertinencia de las actividades,Oportunidad de las actividades ,Participación de la comunidad universitaria en las actividades.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC,REC-4,EG,"Prevención, Atención y Reparación VdG incorporando la Ley Acoso en IES (21.369)","Disponer de un plan integral para el abordaje de la VdG aplicando la Ley 21369 que permita  prevenir, atender, reparar y sancionar la Violencia de género en la institución. ",Misional," $22,080,000 ",,Ejecutar un Modelo para la Prevención de la VdG y la promoción de espacios libres de violencia a través de un Plan anual para la prevención de la VdG. ,Porcentaje de actividades realizadas de prevención de la violencia de género y /o de promoción de espacios libres de violencia,(Numero actividades realizadas/Número actividades planificadas)*100,90%,"materiales de difusión de actividades, fotografías , listas de asistencia ",,,,,Aplicar el Protocolo de Atención de Situaciones de VdG ,Porcentaje de denuncias atendidas por la UEG,(Denuncias atendidas/denuncias recibidas )*100,100%,"Comprobantes de denuncias, planilla de seguimiento de denuncias ",,,,,Proveer de atención en salud mental a las personas denunciantes.,Porcentaje de personas denunciantes que requieren atención en salud mental y que acceden a la misma,(Numero de personas denunciantes que requieren atención en salud mental/ Numero de personas denunciantes atendidas en salud mental )*100,100%,Informes mensuales Atenciones Salud Mental ,,,,,Entregar medidas de Reparación a personas víctimas de VdG  que lo requieran,Porcentaje de personas denunciantes que acceden a medidas de reparación,(Numero de personas denunciantes que acceden a medidas de reparación / número de personas denunciantes)*100,100%,Decreto Universitario que indica la entrega de medidas y acciones de reparación a personas denunciantes individualizadas.,,,,,,,,,,,,,,,,Plan de actividades anuales de prevención de la VdG y promoción de espacios libres de violencia dirigido a la comunidad universitaria.,Debe proveer de una calendarización de actividades relevantes a desarrollar en el período.Debe indicar coordinaciones necesarias para llevar a cabo las actividades.,mar-22,Estudio Diagnóstico de VdG y Discriminación,Informe que compila antecedentes cuantitativos y cualitativos respecto a situaciones de violencia de género vividas al interior de la Universidad y del riesgo de ocurrencia de estas.Revela avances y desafíos en la materia.Debe considerar análisis comparativo con otras universidades nacionales e internacionales.Debe establecer un estado del arte respecto al tema de la violencia de género en las Universidades chilenas.Debe ser visado por Rectoría.,sep-22,"Capacitación a funcionarios/as potenciales Fiscales, en enfoque de género para investigaciones sumarias.",Organizada y desarrollada instancia de capacitación a funcionarias/os a través de consultora experta en la temática. ,ago-22,Conmemorado el día internacional para la Eliminación de la Violencia hacia la mujer ,"Parrilla de actividades orientadas a la comunidad universitaria (Seminario, Conversatorio, actividad artística) ",nov-22,,,,,,,,,,,,,,,,Informe anual de aplicación del Protocolo de Actuación para situaciones de VbG y discriminación.,"Informe ejecutivo que incorpore antecedentes y plantee análisis sobre la aplicación del Protocolo. El análisis debe estar basado en antecedentes recopilados en las acciones de acogida, acompañamiento y seguimiento de las denuncias recibidas. ",Oportunidad de las acciones realizadas,Calidad de las atenciones en salud recibidas en el marco del acompañamiento.,Satisfacción de las personas denunciantes respecto del tratamiento de la denuncia. ,,Informe  de evaluación de la ejecución del Plan de Prevención de VdG                                                             ,"Informe ejecutivo que incorpore antecedentes y plantee análisis sobre la ejecución del Plan de Prevención de VdG.El análisis debe estar basado en antecedentes recopilados en las acciones de prevención, sensibilización y promoción. ",Satisfacción de las personas que participan en las diversas actividades ,,,Certificado de capacitación emitido por consultora responsable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC,REC-5,INC,Despliegue de Política Institucional de Inclusión,"Instalar lineamientos estratégicos en materia de Inclusión, mediante una política integral en la materia, que permita desplegar acciones sistemáticas bajo una institucionalidad apropiada.",Desarrollo, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formalizada la Politica Institucional de Inclusión,,jun-22,Socializada la Politica Institucional de Inclusión ,oct-22,,Diseñados los mecanismos de seguimiento y evaluación para la implementación de la Politica Institucional de Inclusión,,dic-22,,,,,,,,,,,,,,,,,,,Formalización de la PII,"Su formalización debe obedecer los estándares institucionales  establecidos desde el área de Planificación, además de seguir los canales organizacionales normados.","Debe dar cuenta de la incorporación de actores claves de los distintos estamentos, y en particular, la incorporación en su diseño de actores clave asociados a los procesos de docencia, investigación y vinculación con el medio.",Debe dar cuenta de lineamientos que incidan sobre la gestión de personas de la Institución,Debe establecer las responsabilidades sobre su implementación en la Institución.,,Resultados de socialización de la PII,"Debe dar cuenta de un proceso de socialización con actores claves del quehacer universitario, transversal a los distintos estamentos, direcciones y departamentos.","Debe dar cuenta de los mecanismos de comunicación utilizados, y el alcance de estos en la institución","Debe evidenciar cómo el proceso de socialización ha incidido en un mayor conocimiento de la política en la Universidad respecto a una situación anterior, de forma cualitativa y/o cuantitativa. ",,Mecanismos de seguimiento y evaluación para la implementación de la PII,Deben permitir evidenciar en el tiempo la aplicación de los lineamientos planteados en la política en el quehacer universitario.,Deben dar cuenta de los principales procesos institucionales sobre los cuales se aplican.,Deben contextualizarse en un modelo de gestión específico que permitan su operacionalización.,Debe exponer indicadores o métricas asociadas a la gestión de la Inclusión en la Institución.,,,,,,,,,,,,,,,,,,,,,,,,
REC,REC-6,INC,Desarrollo de una cultura de Inclusión en la Universidad,"Implementar actividades que fomenten un mayor conocimiento, educación y apropiación de los principios de Inclusión que la Institución establece ",Misional, $- ,,Realizar actividades educativas en la Institución sobre los lineamientos estratégicos de Inclusión.,Reuniones periodicas de trabajo ,Número de instancias de trabajo con equipos institucionales para dar a conocer y apropiar principios de la Inclusión.,6,Sistematización de compromisos y estrategias de trabajo específicas que realizarán los equipos institucionales para incorporar la perspectiva de inclusión,,,,,"Retroalimentar el diseño de mecanismos de aseguramiento de la calidad, tanto nuevos como existentes, para incorporar la perspectiva de Inclusión.",Diseño de mecanismos nuevos,Número de mecanismos nuevos diseñados en la Institución los cuales han sido retroalimentados desde la perspectiva de la Inclusión.,3,"Mecanismos diseñados y/o formalizados, evidenciando incorporación de retroalimentación desde instancias pertinentes.",Diseño de mecanismos retroalimentados,Número de mecanismos existentes en la Institución cuyo diseño ha sido retroalimentado desde la perspectiva de la Inclusión.,3,"Diseño ajustado de mecanismos y/o formalizado, evidenciando incorporación de retroalimentación desde instancias pertinentes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
